identity_id,okta_login,privilege_level,assigned_groups,account_status,last_login_days,created_date,mfa_status
SVC001,svc_001@company.com,SuperAdmin,Okta_Users,Active,5,2020-01-01,Enrolled
SVC002,svc_002@company.com,User,Okta_Users,Active,41,2020-01-01,Enrolled
SVC003,svc_003@company.com,SuperAdmin,Okta_Users,Active,81,2020-01-01,Enrolled
SVC004,svc_004@company.com,User,Okta_Users,Active,33,2020-01-01,Enrolled
SVC005,svc_005@company.com,SuperAdmin,Okta_Users,Active,48,2020-01-01,Enrolled
SVC006,svc_006@company.com,User,Okta_Users,Active,46,2020-01-01,Enrolled
SVC007,svc_007@company.com,SuperAdmin,Okta_Users,Active,9,2020-01-01,Enrolled
SVC008,svc_008@company.com,User,Okta_Users,Active,48,2020-01-01,Enrolled
SVC009,svc_009@company.com,User,Okta_Users,Active,51,2020-01-01,Enrolled
SVC010,svc_010@company.com,User,Okta_Users,Active,44,2020-01-01,Enrolled
SVC011,svc_011@company.com,SuperAdmin,Okta_Users,Active,77,2020-01-01,NotEnrolled
SVC012,svc_012@company.com,User,Okta_Users,Active,17,2020-01-01,Enrolled
SVC013,svc_013@company.com,User,Okta_Users,Active,65,2020-01-01,Enrolled
SVC014,svc_014@company.com,User,Okta_Users,Active,27,2020-01-01,Enrolled
SVC015,svc_015@company.com,User,Okta_Users,Active,77,2020-01-01,Enrolled
SVC016,svc_016@company.com,User,Okta_Users,Active,15,2020-01-01,Enrolled
SVC017,svc_017@company.com,SuperAdmin,Okta_Users,Active,42,2020-01-01,Enrolled
SVC018,svc_018@company.com,User,Okta_Users,Active,61,2020-01-01,Enrolled
SVC019,svc_019@company.com,SuperAdmin,Okta_Users,Active,75,2020-01-01,Enrolled
SVC020,svc_020@company.com,User,Okta_Users,Active,52,2020-01-01,NotEnrolled
SVC021,svc_021@company.com,User,Okta_Users,Active,73,2020-01-01,Enrolled
SVC022,svc_022@company.com,User,Okta_Users,Active,17,2020-01-01,Enrolled
SVC023,svc_023@company.com,User,Okta_Users,Active,73,2020-01-01,Enrolled
SVC024,svc_024@company.com,User,Okta_Users,Active,21,2020-01-01,Enrolled
SVC025,svc_025@company.com,User,Okta_Users,Active,51,2020-01-01,Enrolled
SVC026,svc_026@company.com,User,Okta_Users,Active,72,2020-01-01,Enrolled
SVC027,svc_027@company.com,SuperAdmin,Okta_Users,Active,84,2020-01-01,Enrolled
SVC028,svc_028@company.com,User,Okta_Users,Active,10,2020-01-01,Enrolled
SVC029,svc_029@company.com,SuperAdmin,Okta_Users,Active,60,2020-01-01,Enrolled
SVC030,svc_030@company.com,User,Okta_Users,Active,21,2020-01-01,Enrolled
CON001,scarlett.anderson@contractor.company.com,SuperAdmin,Okta_AppAdmins,Disabled,330,2023-05-06,Enrolled
CON002,karen.patel@contractor.company.com,SuperAdmin,Okta_AppAdmins,Disabled,213,2023-02-14,Enrolled
CON003,ryan.jones@contractor.company.com,SuperAdmin,Okta_AppAdmins,Disabled,205,2023-04-22,Enrolled
CON004,jonathan.cox@contractor.company.com,SuperAdmin,Okta_AppAdmins,Disabled,352,2023-04-12,Enrolled
CON006,sharon.russell@contractor.company.com,User,Okta_Contractors,Disabled,313,2023-12-24,Enrolled
CON007,kimberly.scott@contractor.company.com,User,Okta_Contractors,Disabled,223,2024-01-26,Enrolled
CON009,abigail.king@contractor.company.com,SuperAdmin,Okta_AppAdmins,Active,87,2024-01-09,Enrolled
CON011,michelle.coleman@contractor.company.com,User,Okta_Contractors,Active,19,2023-10-23,Enrolled
CON012,jack.rodriguez@contractor.company.com,User,Okta_Contractors,Active,78,2023-12-05,Enrolled
CON013,aaron.nguyen@contractor.company.com,User,Okta_Contractors,Active,68,2023-04-30,Enrolled
CON014,timothy.scott@contractor.company.com,User,Okta_Contractors,Active,15,2023-11-22,NotEnrolled
CON015,matthew.mitchell@contractor.company.com,User,Okta_Contractors,Active,84,2023-04-18,Enrolled
CON016,joshua.hughes@contractor.company.com,User,Okta_Contractors,Active,77,2023-11-08,Enrolled
CON017,lisa.morgan@contractor.company.com,User,Okta_Contractors,Active,0,2023-03-25,Enrolled
